OP029_HDDS,OP012_monthly_food_expenditure,OP011_accessibility_tier,OP016_budget_share_pct,OP016_budget_share_tier,OP025_neighborhood_safety_index,OP025_neighborhood_safety_tier,OP033_diet_quality_tier,OP004_cleanliness,OP005_neighborhood_safety,OP006_reputation,OP007_infrastructure,OP008_marketing_regulation,OP009_travel_time,OP017_cooking_source,OP018_water_source,OP019_water_distance,OP003_price_motive,OP010_shopping_frequency,OP013_expenditure_time_unit,OP015_affordability_motive,OP021_health_motive,OP022_trust_motive,OP023_food_env_perception,OP028_frequency_variation
10.0,4500000.0,Far,30.0,Medium,2.0,High,Diverse,2.0,2.0,2.0,,,10.0,gas,yes,,0,93.0,month,0,0,0,2.0,15.896540504147437
8.0,5000000.0,Close,250.0,High,2.0,High,Diverse,2.0,2.0,2.0,,,2.0,electricity,yes,,0,54.0,month,0,0,0,2.0,15.479018056711478
11.0,4000000.0,Close,26.666666666666668,Medium,2.0,High,Diverse,2.0,2.0,2.0,,,3.0,gas,yes,,0,20.0,month,0,0,0,2.0,3.9327683210007
0.0,,,,,,,Poor,,,,,,,,,,0,0.0,,0,0,0,,0.0
0.0,,,,,,,Poor,,,,,,,,,,0,0.0,,0,0,0,,0.0
7.0,6000000.0,Close,46.15384615384615,High,1.5,Low,Diverse,1.0,2.0,,0.0,,5.0,,yes,0.0,1,60.0,day,1,0,0,1.0,15.491933384829668
7.0,3600000.0,,42.35294117647059,High,2.0,High,Diverse,2.0,2.0,2.0,,,,gas,yes,,0,14.0,day,0,0,0,-1.0,3.204163957519444
7.0,3000000.0,Far,70.58823529411765,High,1.6666666666666667,High,Diverse,2.0,2.0,1.0,,,30.0,electricity,yes,,0,49.0,day,0,0,0,1.0,15.904925861715505
3.0,6000000.0,Far,141.1764705882353,High,2.0,High,Poor,2.0,2.0,2.0,0.0,,7.0,electricity,yes,-1.0,0,66.0,day,0,0,0,2.0,14.791889669680478
9.0,,Close,,,1.6666666666666667,High,Diverse,1.0,2.0,2.0,,,2.0,electricity,yes,,0,31.0,,0,0,0,2.0,12.17237309100681
5.0,10000000.0,Close,66.66666666666666,High,0.3333333333333333,Low,Adequate,-1.0,2.0,0.0,1.0,,3.0,electricity,yes,0.0,0,18.0,month,0,0,0,2.0,2.9664793948382653
6.0,3000000.0,,50.0,High,2.0,High,Adequate,2.0,2.0,2.0,0.0,,,electricity,yes,-1.0,0,16.0,month,0,0,0,2.0,3.265986323710904
0.0,,,,,,,Poor,,,,,,,,,,0,0.0,,0,0,0,,0.0
4.0,1000000.0,Far,23.52941176470588,Medium,0.0,Low,Adequate,-1.0,-1.0,2.0,0.0,,15.0,electricity,yes,0.0,0,39.0,month,0,0,0,1.0,11.92895636675732
10.0,6000000.0,Close,19.672131147540984,Low,1.3333333333333333,Low,Diverse,2.0,1.0,1.0,-1.0,,2.0,gas,yes,-1.0,0,64.0,month,0,0,0,2.0,15.05545305418162
5.0,6000000.0,Far,25.0,Medium,2.0,High,Adequate,2.0,2.0,2.0,-1.0,,15.0,gas,yes,-1.0,0,18.0,month,0,0,0,2.0,3.9496835316263
0.0,,,,,,,Poor,,,,,,,,,,0,0.0,,0,0,0,,0.0
0.0,,,,,,,Poor,,,,,,,,,,0,0.0,,0,0,0,,0.0
0.0,,,,,,,Poor,,,,,,,,,,0,0.0,,0,0,0,,0.0
11.0,20000000.0,Close,65.57377049180327,High,1.0,Low,Diverse,1.0,1.0,1.0,1.0,,5.0,electricity,yes,-1.0,0,52.0,month,0,0,0,2.0,10.93008081702357
0.0,,,,,,,Poor,,,,,,,,,,0,0.0,,0,0,0,,0.0
10.0,9000000.0,Close,29.50819672131147,Medium,2.0,High,Diverse,2.0,2.0,2.0,1.0,,2.0,gas,yes,-1.0,0,42.0,day,0,0,0,2.0,11.64474130240771
9.0,5400000.0,Close,17.704918032786885,Low,2.0,High,Diverse,2.0,2.0,2.0,-1.0,,5.0,electricity,yes,-1.0,0,35.0,day,0,0,0,2.0,11.940128419186566
15.0,6000000.0,Close,35.294117647058826,Medium,2.0,High,Diverse,2.0,2.0,2.0,,,3.0,electricity,yes,,0,52.0,day,0,0,1,2.0,15.680136053831506
9.0,6000000.0,Close,46.15384615384615,High,1.3333333333333333,Low,Diverse,1.0,1.0,2.0,-1.0,,3.0,gas,yes,1.0,0,10.0,day,0,0,0,2.0,3.2041639575194445
0.0,,,,,,,Poor,,,,,,,,,,0,0.0,,0,0,0,,0.0
0.0,,,,,,,Poor,,,,,,,,,,0,0.0,,0,0,0,,0.0
